..Scottic Gaelic,(D),(D),(B),--
..Albanian,1420,577,845,362
..Lithuanian,680,409,185,132
..Latvian,260,136,75,87
..Pashto,515,468,370,335
..Kurdish,590,347,220,197
ASIAN AND PACIFIC ISLAND LANGUAGES,197248,4127,95464,3142
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",42582,2032,21397,1366
..Chinese,31485,1757,16790,1268
..Hakka,(D),(D),(B),--
"..Kan, Hsiang",(D),(D),(D),(D)
..Cantonese,2750,635,1110,347
..Mandarin,7300,715,3105,534
..Fuchow,(D),(D),(D),(D)
..Formosan,960,335,350,171
..Wu,40,66,(B),--
.Japanese,8474,959,3438,608
.Korean,44978,2721,25443,1903
".Mon-Khmer, Cambodian",4475,1021,2298,608
.Hmong,3061,687,907,270
.Thai,3186,769,1247,364
.Laotian,5143,809,2336,477
.Vietnamese,41108,2327,26034,1814
.Other Asian languages,27285,2137,7854,977
..Kazakh,(D),(D),(D),(D)
..Kirghiz,(D),(D),(B),--
..Uighur,50,56,50,56
..Azerbaijani,(D),(D),(D),(D)
..Turkish,3190,766,985,319
..Mongolian,(D),(D),(B),--
..Dravidian,65,96,(B),--
..Gondi,55,80,(D),(D)
..Telugu,8995,1074,2025,467
..Kannada,1280,383,230,125
..Malayalam,4000,742,1010,343
..Tamil,6350,914,1330,479
..Munda,115,107,(B),--
..Tibetan,(D),(D),(D),(D)
..Burmese,1650,583,1135,413
..Karen,1230,613,1015,579
..Kachin,60,88,(B),--
..Mien,160,141,(B),--
.Tagalog,12205,1122,2884,556
.Other Pacific Island languages,4751,907,1626,461
..Indonesian,2310,684,1140,431
..Malagasy,(D),(D),(B),--
..Malay,195,157,(D),(D)
..Bisayan,175,97,20,27
..Sebuano,240,135,70,62
..Ilocano,160,127,95,85
..Micronesian,180,169,(B),--
..Chamorro,360,167,25,31
..Marshallese,(D),(D),(D),(D)
..Palau,(D),(D),(B),--
..Ponapean,(D),(D),(B),--
..Melanesian,(D),(D),(D),(D)
..Polynesian,10,14,10,14
..Samoan,850,418,175,84
..Tongan,(D),(D),(B),--
..Fijian,(D),(D),(B),--
..Hawaiian,105,80,(D),(D)
ALL OTHER LANGUAGES,70166,3218,17683,1504
.Navajo,233,156,21,36
.Other Native North American languages,1049,319,85,69
..Blackfoot,(D),(D),(B),--
..Ottawa,(D),(D),(B),--
..Okanogan,(D),(D),(B),--
..Kuchin,(D),(D),(B),--
..Apache,(D),(D),(B),--
..Pomo,(D),(D),(D),(D)
..Dakota,65,56,(B),--
..Alabama,(D),(D),(B),--
..Choctaw,(D),(D),(B),--
..Koasati,(D),(D),(B),--
..Muskogee,100,66,(B),--
..Keres,95,85,(D),(D)
..Iroquois,(D),(D),(B),--
..Oneida,(D),(D),(B),--
..Cherokee,145,74,35,40
..Comanche,(D),(D),(B),--
..Pima,(D),(D),(B),--
..Tewa,140,180,(B),--
..American Indian,130,110,(B),--
.Hungarian,956,249,245,112
.Arabic,15343,1662,4084,791
.Hebrew,2794,665,97,63
.African languages,48036,2613,12499,1327
..Amharic,12415,1752,5585,1143
..Berber,(D),(D),(D),(D)
..Chadic,330,246,(D),(D)
..Cushite,3255,700,1470,358
..Sudanic,(D),(D),(D),(D)
..Nilotic,50,50,(B),--
..Nubian,20,49,(D),(D)
..Swahili,4730,767,525,206
..Bantu,2225,740,460,245
..Mande,865,244,220,125
..Fulani,2095,633,600,238
..Gur,225,309,130,209
"..Kru, Ibo, Yoruba",20450,1595,3020,583
..Efik,760,326,180,149
..Mbum (and related),100,186,100,186
..African,425,259,110,123
.Other and unspecified languages,1755,507,652,384
..Finnish,545,327,(D),(D)
..Estonian,25,25,(B),--
..Caucasian,260,155,(D),(D)
..Syriac,(D),(D),(B),--
..Aztecan,(D),(D),(D),(D)
..Mayan languages,110,110,55,52
..Mapuche,210,267,195,246
..Oto - Manguen,290,294,265,269
..Arawakian,20,22,20,22
..Chibchan,160,251,75,116
..Uncodable,120,73,(B),--
,,,,
Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US13). Detailed-language estimates may not sum to aggregate estimates because of rounding.,,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
