..Pima,(D),(D),(B),--
..American Indian,370,165,55,25
.Hungarian,2510,358,589,151
.Arabic,111944,3223,46889,1930
.Hebrew,2629,414,454,160
.African languages,13819,1561,4812,1021
..Amharic,1125,330,505,186
..Berber,(D),(D),(D),(D)
..Chadic,(D),(D),(D),(D)
..Cushite,1320,451,625,281
..Sudanic,440,244,140,136
..Nilo-Hamitic,180,213,180,213
..Nubian,(D),(D),(B),--
..Swahili,1890,521,775,436
..Bantu,2470,709,870,477
..Mande,530,236,215,152
..Fulani,745,274,205,128
"..Kru, Ibo, Yoruba",4900,810,1180,354
..Efik,95,70,25,32
..African,90,73,70,68
.Other and unspecified languages,27323,1954,12345,1182
..Finnish,2580,283,430,87
..Estonian,80,43,15,20
..Other Uralic languages,(D),(D),(B),--
..Caucasian,120,100,(D),(D)
..Syriac,24315,1939,11725,1179
..Mayan languages,165,104,120,71
..Uncodable,60,45,(D),(D)
,,,,
Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US26). Detailed-language estimates may not sum to aggregate estimates because of rounding.,,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
