.Vietnamese,4951,702,3103,522
.Other Asian languages,11524,1121,6055,852
..Kazakh,(D),(D),(B),--
..Uighur,165,163,80,72
..Azerbaijani,60,76,(B),--
..Turkish,655,231,285,197
..Turkmen,(D),(D),(D),(D)
..Mongolian,65,72,20,24
..Dravidian,(D),(D),(B),--
..Gondi,(D),(D),(B),--
..Telugu,2130,515,490,202
..Kannada,495,226,(D),(D)
..Malayalam,520,260,70,72
..Tamil,1780,465,205,105
..Tibetan,60,64,(D),(D)
..Burmese,5035,778,4320,741
..Karen,460,345,460,345
..Kachin,(D),(D),(D),(D)
.Tagalog,5667,672,1755,321
.Other Pacific Island languages,1602,317,507,158
..Indonesian,565,200,240,116
..Malay,205,151,50,58
..Bisayan,370,138,105,70
..Sebuano,180,104,60,49
..Ilocano,40,48,(B),--
..Pampangan,(D),(D),(D),(D)
..Chamorro,65,70,(B),--
..Marshallese,35,44,(D),(D)
..Melanesian,(D),(D),(B),--
..Samoan,55,39,(D),(D)
..Fijian,10,15,(B),--
..Maori,(D),(D),(B),--
..Hawaiian,30,29,(D),(D)
ALL OTHER LANGUAGES,21788,1672,6137,873
.Navajo,133,82,25,30
.Other Native North American languages,731,201,94,79
..Algonquian,(D),(D),(B),--
..Blackfoot,(D),(D),(B),--
..Cheyenne,40,51,(B),--
..French Cree,(D),(D),(D),(D)
..Miami,35,48,(B),--
..Potawatomi,30,51,(B),--
..Shawnee,25,31,(B),--
..Coeur d'Alene,(D),(D),(B),--
..Quinault,(D),(D),(B),--
..Apache,50,48,(B),--
..Dakota,160,91,(B),--
..Winnebago,(D),(D),(B),--
..Choctaw,175,125,(D),(D)
..Cherokee,70,45,(D),(D)
..Comanche,(D),(D),(B),--
..Pima,(D),(D),(B),--
..Tewa,(D),(D),(D),(D)
..American Indian,20,21,(B),--
.Hungarian,995,231,162,73
.Arabic,9017,1037,3513,647
.Hebrew,1231,373,244,205
.African languages,9246,1423,2004,562
..Amharic,1805,669,550,203
..Chadic,35,32,(D),(D)
..Cushite,285,213,120,95
..Nilo-Hamitic,(D),(D),(B),--
..Swahili,1510,441,140,100
..Bantu,960,340,100,93
..Mande,130,103,80,65
..Fulani,215,195,35,50
..Gur,(D),(D),(B),--
"..Kru, Ibo, Yoruba",3970,967,920,481
..Efik,(D),(D),(B),--
..African,310,231,40,41
.Other and unspecified languages,435,136,95,69
..Finnish,125,72,(B),--
..Estonian,60,40,(B),--
..Caucasian,15,13,(D),(D)
..Syriac,20,21,(D),(D)
..Mayan languages,70,98,(D),(D)
..Oto - Manguen,(D),(D),(D),(D)
..Arawakian,30,34,30,34
..Uncodable,90,47,(D),(D)
,,,,
Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US18). Detailed-language estimates may not sum to aggregate estimates because of rounding.,,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
