.Other Indo-European languages,4532,830,1535,580
..Jamaican Creole,600,510,540,490
..Krio,115,97,(B),--
..Pidgin,55,43,(B),--
..Catalonian,180,121,70,82
..Romanian,1455,354,415,186
..Welsh,70,48,(D),(D)
..Irish Gaelic,330,164,20,19
..Scottic Gaelic,90,91,(D),(D)
..Albanian,175,143,55,69
..Lithuanian,610,238,155,88
..Latvian,125,58,(D),(D)
..Pashto,430,267,125,103
..Kurdish,295,183,70,72
ASIAN AND PACIFIC ISLAND LANGUAGES,91051,1758,42929,1190
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",19020,1496,9428,974
..Chinese,14380,1163,7390,785
..Hakka,(D),(D),(B),--
..Cantonese,1940,535,890,308
..Mandarin,2230,459,980,287
..Formosan,465,163,165,117
.Japanese,6071,706,1751,263
.Korean,15629,1162,8180,692
".Mon-Khmer, Cambodian",2210,603,950,379
.Hmong,3008,725,1037,317
.Thai,1950,380,1084,271
.Laotian,2175,713,981,313
.Vietnamese,20099,1706,12700,1121
.Other Asian languages,9628,1089,3350,644
..Kazakh,30,36,(B),--
..Uighur,80,82,60,67
..Azerbaijani,(D),(D),(D),(D)
..Turkish,1180,414,625,332
..Mongolian,715,337,375,196
..Telugu,2405,575,465,189
..Kannada,380,150,35,41
..Malayalam,925,320,205,121
..Tamil,1920,512,125,85
..Tibetan,430,174,200,127
..Burmese,775,374,630,317
..Karen,745,417,615,361
..Mien,(D),(D),(B),--
.Tagalog,7293,835,1970,420
.Other Pacific Island languages,3968,614,1498,311
..Indonesian,1390,397,635,205
..Javanese,(D),(D),(B),--
..Malay,255,152,80,90
..Sundanese,(D),(D),(D),(D)
..Bisayan,140,92,60,73
..Sebuano,150,136,55,58
..Ilocano,225,137,100,85
..Pampangan,140,104,95,98
..Micronesian,15,20,(D),(D)
..Chamorro,360,143,90,86
..Marshallese,50,142,30,91
..Palau,110,84,55,59
..Trukese,115,122,45,82
..Yapese,(D),(D),(D),(D)
..Polynesian,(D),(D),(B),--
..Samoan,365,181,45,59
..Tongan,215,130,55,45
..Maori,(D),(D),(D),(D)
..Hawaiian,365,150,95,73
ALL OTHER LANGUAGES,36201,2388,13858,1216
.Navajo,2937,525,319,151
.Other Native North American languages,2244,341,413,172
..Eskimo,40,42,(B),--
..Inupik,10,8,(B),--
..Yupik,80,59,(B),--
..Algonquian,(D),(D),(B),--
..Arapaho,(D),(D),(B),--
..Blackfoot,(D),(D),(B),--
..Cheyenne,65,63,65,62
..Cree,180,127,95,102
..Delaware,(D),(D),(B),--
..Fox,(D),(D),(B),--
..Menomini,90,94,(D),(D)
..Ojibwa,40,55,(B),--
..Apache,120,78,55,61
..Tlingit,(D),(D),(B),--
..Foothill North Yokuts,(D),(D),(D),(D)
..Dakota,360,162,70,52
..Omaha,(D),(D),(B),--
..Choctaw,(D),(D),(D),(D)
..Cherokee,100,63,(B),--
..Ute,725,174,75,36
..Tewa,40,45,(B),--
..Towa,35,39,(B),--
..Zuni,(D),(D),(B),--
..American Indian,95,59,(D),(D)
..San Carlos,(D),(D),(B),--
.Hungarian,1322,280,302,147
.Arabic,9692,1208,4116,758
.Hebrew,1650,428,216,111
.African languages,17500,1597,8148,995
..Amharic,8735,1135,4200,701
..Berber,70,47,60,45
..Chadic,35,41,(B),--
..Cushite,2685,561,1610,393
..Sudanic,125,172,75,112
..Nilotic,95,120,70,114
..Swahili,815,299,340,213
..Bantu,650,280,335,220
..Mande,290,140,170,97
..Fulani,185,125,45,38
"..Kru, Ibo, Yoruba",3715,812,1220,352
..African,105,76,(D),(D)
.Other and unspecified languages,856,271,344,164
..Finnish,265,99,100,63
..Estonian,60,51,(D),(D)
..Basque,45,40,(D),(D)
..Syriac,(D),(D),(B),--
..Sonoran,60,68,60,68
..Mayan languages,195,174,155,130
..Oto - Manguen,(D),(D),(B),--
..Tupi-Guarani,(D),(D),(B),--
..Uncodable,190,155,(B),--
,,,,
Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US08). Detailed-language estimates may not sum to aggregate estimates because of rounding.,,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
