..Jamaican Creole,875,292,190,129
..Krio,95,75,30,24
..Pidgin,40,64,(D),(D)
..Catalonian,105,88,(D),(D)
..Romanian,2675,558,1035,348
..Welsh,95,64,20,20
..Irish Gaelic,2445,458,225,94
..Scottic Gaelic,145,112,(B),--
..Albanian,9580,1184,4685,779
..Lithuanian,2345,357,505,177
..Latvian,505,159,115,58
..Pashto,325,232,105,78
..Kurdish,115,92,45,43
ASIAN AND PACIFIC ISLAND LANGUAGES,237872,3013,116583,2387
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",106715,2891,56534,2110
..Chinese,70395,2552,38015,2065
..Hakka,(D),(D),(B),--
..Cantonese,18920,1542,11020,1161
..Mandarin,15365,1404,6625,938
..Fuchow,215,280,210,280
..Formosan,1730,406,665,264
..Wu,60,45,(B),--
.Japanese,8408,872,3321,514
.Korean,16962,1505,7840,935
".Mon-Khmer, Cambodian",21869,1594,11369,944
.Hmong,563,282,305,177
.Thai,2753,550,1547,412
.Laotian,3113,699,1468,348
.Vietnamese,40302,2386,24741,1712
.Other Asian languages,26951,1606,6425,948
..Kazakh,30,29,(D),(D)
..Uighur,55,70,(D),(D)
..Azerbaijani,160,170,(D),(D)
..Turkish,4425,642,1270,356
..Mongolian,205,221,(D),(D)
..Dravidian,(D),(D),(B),--
..Gondi,30,52,(D),(D)
..Telugu,7625,921,1850,476
..Kannada,2315,520,325,185
..Malayalam,2505,587,585,273
..Tamil,7630,1013,1075,332
..Munda,130,117,(D),(D)
..Tibetan,760,281,225,134
..Burmese,1010,324,785,320
..Karen,50,78,50,78
.Tagalog,8214,925,2481,492
.Other Pacific Island languages,2022,456,552,178
..Indonesian,1045,372,270,153
..Balinese,(D),(D),(B),--
..Malay,350,135,65,63
..Bisayan,215,162,110,102
..Sebuano,30,28,(B),--
..Pampangan,(D),(D),(D),(D)
..Chamorro,100,110,30,33
..Marshallese,(D),(D),(B),--
..Nauruan,(D),(D),(D),(D)
..Palau,(D),(D),(B),--
..Yapese,(D),(D),(D),(D)
..Tongan,55,58,(B),--
..Hawaiian,110,116,(D),(D)
ALL OTHER LANGUAGES,73770,3611,23761,1695
.Navajo,52,58,(B),--
.Other Native North American languages,612,226,114,61
..Algonquian,90,73,(D),(D)
..French Cree,(D),(D),(B),--
..Micmac,20,20,(B),--
..Ojibwa,125,159,(D),(D)
..Abnaki,(D),(D),(B),--
..Kuchin,105,93,(D),(D)
..Chasta Costa,(D),(D),(B),--
..Kiowa,(D),(D),(B),--
..Dakota,(D),(D),(B),--
..Choctaw,65,99,(B),--
..Keres,40,40,(D),(D)
..Mohawk,(D),(D),(B),--
..Comanche,(D),(D),(B),--
..Tiwa,30,38,(D),(D)
..American Indian,(D),(D),(D),(D)
.Hungarian,1518,340,324,135
.Arabic,29436,2143,11942,1183
.Hebrew,7348,799,805,201
.African languages,32981,2248,10032,1028
..Amharic,4900,777,1920,442
..Berber,120,143,25,39
..Chadic,335,179,(D),(D)
..Cushite,2860,723,1325,413
..Sudanic,215,196,100,90
..Nilotic,(D),(D),(B),--
..Nilo-Hamitic,(D),(D),(D),(D)
..Swahili,7000,918,1965,445
..Bantu,4015,848,750,259
..Mande,455,169,125,75
..Fulani,400,239,160,96
"..Kru, Ibo, Yoruba",12215,1264,3455,611
..Efik,(D),(D),(B),--
..African,355,182,165,116
.Other and unspecified languages,1823,382,544,219
..Finnish,860,210,165,77
..Estonian,195,87,45,45
..Other Uralic languages,(D),(D),(B),--
..Caucasian,250,260,135,166
..Basque,45,53,45,53
..Syriac,105,79,50,42
..Quechua,(D),(D),(D),(D)
..Arawakian,25,26,(B),--
..Chibchan,80,95,80,95
..Uncodable,230,93,(B),--
,,,,
Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US25). Detailed-language estimates may not sum to aggregate estimates because of rounding.,,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
