..Malay,180,107,45,46
..Bisayan,120,83,60,43
..Sebuano,60,40,(D),(D)
..Ilocano,15,27,(D),(D)
..Bikol,(D),(D),(D),(D)
..Micronesian,(D),(D),(B),--
..Chamorro,155,122,30,32
..Palau,(D),(D),(B),--
..Trukese,(D),(D),(D),(D)
..Melanesian,35,37,(D),(D)
..Samoan,(D),(D),(D),(D)
..Hawaiian,(D),(D),(B),--
ALL OTHER LANGUAGES,24575,1912,7578,997
.Other Native North American languages,260,109,71,44
..Algonquian,60,72,(D),(D)
..Blackfoot,(D),(D),(B),--
..Delaware,(D),(D),(B),--
..Ottawa,(D),(D),(D),(D)
..Potawatomi,40,40,(D),(D)
..Puget Sound Salish,(D),(D),(B),--
..Hidatsa,(D),(D),(D),(D)
..Dakota,10,16,(B),--
..Mohawk,(D),(D),(B),--
..Towa,(D),(D),(D),(D)
..American Indian,50,47,20,36
.Hungarian,2764,459,780,223
.Arabic,9271,1371,3893,752
.Hebrew,2762,582,343,120
.African languages,8553,1137,2257,530
..Amharic,380,187,160,118
..Berber,(D),(D),(D),(D)
..Chadic,385,319,115,127
..Cushite,365,246,255,223
..Nilotic,35,31,(B),--
..Swahili,880,480,225,147
..Bantu,640,314,180,156
..Mande,170,188,30,71
..Fulani,250,325,(D),(D)
..Gur,(D),(D),(B),--
"..Kru, Ibo, Yoruba",5165,723,1085,349
..Efik,(D),(D),(D),(D)
..African,195,108,95,57
.Other and unspecified languages,965,226,234,84
..Finnish,340,150,60,53
..Estonian,170,112,35,33
..Caucasian,50,40,45,39
..Basque,(D),(D),(B),--
..Syriac,225,100,35,30
..Quechua,40,45,(D),(D)
..Tupi-Guarani,(D),(D),(D),(D)
..Uncodable,120,68,(D),(D)
,,,,
Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US09). Detailed-language estimates may not sum to aggregate estimates because of rounding.,,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
