..Albanian,1490,433,415,160
..Lithuanian,670,263,200,182
..Latvian,325,107,(D),(D)
..Pashto,1965,592,710,258
..Kurdish,1900,676,800,326
ASIAN AND PACIFIC ISLAND LANGUAGES,265687,3236,111974,2455
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",49986,2473,22901,1567
..Chinese,37210,2186,17090,1319
..Cantonese,3930,753,1730,475
..Mandarin,7390,1058,3315,653
..Fuchow,65,101,65,101
..Formosan,1355,371,695,205
..Wu,35,41,(D),(D)
.Japanese,10160,944,3650,445
.Korean,56184,2381,29903,1634
".Mon-Khmer, Cambodian",5582,1017,2779,602
.Hmong,235,204,48,73
.Thai,6539,858,3420,545
.Laotian,2551,595,1216,312
.Vietnamese,47843,2353,26071,1550
.Other Asian languages,37236,2063,8450,787
..Kazakh,180,140,30,22
..Uighur,525,267,260,155
..Azerbaijani,135,93,55,61
..Turkish,5780,837,2260,465
..Mongolian,1250,452,675,306
..Dravidian,20,25,(D),(D)
..Gondi,65,50,(B),--
..Telugu,14645,1496,2345,510
..Kannada,1850,406,270,117
..Malayalam,2835,519,530,223
..Tamil,7990,1125,960,226
..Munda,(D),(D),(B),--
..Tibetan,215,122,75,58
..Burmese,1285,448,560,209
..Karen,275,284,275,284
..Kachin,170,202,150,176
.Tagalog,43952,2069,12031,943
.Other Pacific Island languages,5419,787,1505,346
..Indonesian,1685,441,540,213
..Javanese,90,109,(D),(D)
..Malagasy,(D),(D),(D),(D)
..Malay,720,278,260,152
..Bisayan,575,239,130,82
..Sebuano,410,254,60,63
..Ilocano,585,223,255,135
..Bikol,80,55,(D),(D)
..Pampangan,110,86,(D),(D)
..Micronesian,(D),(D),(B),--
..Chamorro,260,131,30,49
..Kusaiean,(D),(D),(D),(D)
..Marshallese,40,39,(D),(D)
..Palau,105,90,(D),(D)
..Ponapean,(D),(D),(D),(D)
..Melanesian,(D),(D),(B),--
..Polynesian,(D),(D),(B),--
..Samoan,290,218,95,90
..Tongan,155,179,(B),--
..Tokelauan,65,73,(B),--
..Fijian,(D),(D),(B),--
..Hawaiian,160,81,(D),(D)
ALL OTHER LANGUAGES,98457,3628,29264,1884
.Navajo,165,84,15,19
.Other Native North American languages,1041,282,266,215
..Yupik,(D),(D),(B),--
..Algonquian,(D),(D),(B),--
..Ojibwa,65,37,(B),--
..Potawatomi,30,35,(B),--
..Ahtena,(D),(D),(D),(D)
..Kuchin,(D),(D),(B),--
..Apache,65,58,(B),--
..Kiowa,(D),(D),(B),--
..Tlingit,15,16,(B),--
..Delta River Yuman,(D),(D),(B),--
..Crow,(D),(D),(B),--
..Dakota,165,107,(B),--
..Winnebago,30,41,(B),--
..Ponca,(D),(D),(B),--
..Choctaw,(D),(D),(B),--
..Mikasuki,(D),(D),(D),(D)
..Muskogee,(D),(D),(D),(D)
..Keres,150,164,135,163
..Mohawk,95,84,(D),(D)
..Tuscarora,(D),(D),(B),--
..Cherokee,110,69,(D),(D)
..Towa,(D),(D),(B),--
..American Indian,70,54,(D),(D)
.Hungarian,1486,306,311,143
.Arabic,40139,2737,12198,1315
.Hebrew,1353,317,221,97
.African languages,52140,2318,15522,1382
..Amharic,23160,1724,8550,1082
..Berber,140,101,65,73
..Chadic,80,51,(D),(D)
..Cushite,3240,667,1185,332
..Sudanic,360,238,155,108
..Nilotic,(D),(D),(D),(D)
..Nilo-Hamitic,440,509,150,211
..Nilo-Saharan,(D),(D),(B),--
..Swahili,1945,461,475,213
..Bantu,1725,511,735,367
..Mande,390,173,120,89
..Fulani,765,322,210,125
..Gur,30,39,(B),--
"..Kru, Ibo, Yoruba",19655,1702,3805,632
..Efik,35,27,(B),--
..Mbum (and related),25,82,(D),(D)
..African,100,56,(D),(D)
.Other and unspecified languages,2133,498,731,339
..Finnish,570,202,25,24
..Estonian,245,112,(D),(D)
..Caucasian,235,193,90,93
..Syriac,185,132,40,49
..Mayan languages,145,183,145,183
..Oto - Manguen,165,129,135,96
..Quechua,85,119,(D),(D)
..Arawakian,35,79,(D),(D)
..Chibchan,185,235,185,235
..Uncodable,285,152,(D),(D)
,,,,
Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US51). Detailed-language estimates may not sum to aggregate estimates because of rounding.,,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
