..Balochi,30,59,(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,331327,4322,144481,3437
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",94966,2953,50122,2055
..Chinese,65740,2496,35685,1782
..Hakka,40,44,(D),(D)
..Cantonese,13905,1248,7615,791
..Mandarin,12820,963,5565,701
..Fuchow,35,49,20,36
..Formosan,2395,468,1210,293
..Wu,30,29,(B),--
.Japanese,12611,1007,6079,731
.Korean,49323,2166,27057,1532
".Mon-Khmer, Cambodian",3650,865,1918,550
.Hmong,415,215,118,71
.Thai,7266,823,3818,567
.Laotian,3931,671,2298,429
.Vietnamese,20907,1510,12489,1085
.Other Asian languages,51963,2443,16079,1227
..Kirghiz,145,165,130,158
..Karachay,(D),(D),(B),--
..Uighur,260,199,155,139
..Azerbaijani,115,160,55,75
..Turkish,4325,721,1515,304
..Turkmen,(D),(D),(B),--
..Mongolian,2185,591,1405,475
..Tungus,105,121,75,88
..Dravidian,60,61,(B),--
..Gondi,80,72,(D),(D)
..Telugu,14355,1299,2950,471
..Kannada,2710,597,650,416
..Malayalam,13980,1358,4680,754
..Tamil,10265,1192,1975,402
..Munda,80,85,(D),(D)
..Tibetan,240,168,125,125
..Burmese,1975,565,1550,454
..Karen,1000,398,730,329
..Kachin,45,59,45,59
..Mien,(D),(D),(D),(D)
.Tagalog,80655,2889,22988,1523
.Other Pacific Island languages,5640,738,1515,298
..Indonesian,1135,228,345,120
..Achinese,(D),(D),(D),(D)
..Javanese,(D),(D),(B),--
..Malay,1005,370,280,153
..Bisayan,1175,358,320,173
..Sebuano,1035,312,255,112
..Pangasinan,40,61,(D),(D)
..Ilocano,435,226,220,116
..Bikol,(D),(D),(B),--
..Pampangan,115,69,40,32
..Micronesian,10,14,(D),(D)
..Chamorro,340,181,(B),--
..Palau,(D),(D),(B),--
..Melanesian,45,59,(B),--
..Samoan,190,93,(D),(D)
..Tongan,25,34,(B),--
..Fijian,(D),(D),(B),--
..Marquesan,(D),(D),(B),--
..Hawaiian,40,47,(D),(D)
ALL OTHER LANGUAGES,112293,4586,35232,2441
.Navajo,53,61,12,18
.Other Native North American languages,799,192,123,98
..Inupik,(D),(D),(B),--
..Algonquian,(D),(D),(B),--
..Cree,40,56,(D),(D)
..Delaware,(D),(D),(D),(D)
..Menomini,30,30,(D),(D)
..Ojibwa,30,33,(B),--
..Kuchin,55,47,(D),(D)
..Yuma,(D),(D),(D),(D)
..Crow,(D),(D),(B),--
..Hidatsa,(D),(D),(B),--
..Dakota,225,111,(D),(D)
..Winnebago,(D),(D),(B),--
..Kansa,15,24,(B),--
..Omaha,(D),(D),(B),--
..Choctaw,65,46,(B),--
..Oneida,(D),(D),(B),--
..Cherokee,60,33,(B),--
..Caddo,(D),(D),(B),--
..Tiwa,(D),(D),(B),--
..American Indian,75,53,(D),(D)
.Hungarian,2928,434,1137,290
.Arabic,56524,3451,18865,1775
.Hebrew,6666,886,880,284
.African languages,29473,2094,7758,1150
..Amharic,3985,756,1495,467
..Berber,60,69,(D),(D)
..Chadic,395,214,(D),(D)
..Cushite,1065,473,705,417
..Sudanic,525,363,95,80
..Nilotic,70,53,25,30
..Swahili,1925,632,335,237
..Bantu,1675,457,290,104
..Mande,500,333,85,103
..Fulani,590,258,265,154
..Gur,(D),(D),(D),(D)
"..Kru, Ibo, Yoruba",17940,1670,3955,803
..Efik,185,130,(D),(D)
..Mbum (and related),(D),(D),(B),--
..African,545,413,410,407
.Other and unspecified languages,15850,1960,6457,1046
..Finnish,510,189,70,63
..Estonian,330,140,65,53
..Caucasian,265,140,125,79
..Basque,(D),(D),(B),--
..Syriac,14365,1936,6165,1041
..Mayan languages,(D),(D),(D),(D)
..Arawakian,175,184,(B),--
..Tupi-Guarani,(D),(D),(B),--
..Uncodable,110,64,(D),(D)
,,,,
Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US17). Detailed-language estimates may not sum to aggregate estimates because of rounding.,,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
