..India n.e.c.3,3555,959,995,357
..Bengali,9275,1248,3380,678
..Panjabi,1705,412,490,183
..Marathi,2140,521,315,135
..Bihari,215,260,160,249
..Oriya,175,117,(B),--
..Kashmiri,(D),(D),(B),--
..Nepali,1525,646,760,490
..Sindhi,325,200,65,68
..Pakistan n.e.c.3,625,411,(D),(D)
..Sinhalese,765,288,230,120
..Romany,90,113,(B),--
.Other Indo-European languages,25320,2010,9247,1034
..Jamaican Creole,3440,873,980,313
..Krio,550,453,210,233
..Pidgin,95,67,(B),--
..Catalonian,175,130,75,58
..Romanian,9665,1223,3420,607
..Welsh,255,102,(D),(D)
..Irish Gaelic,1015,251,50,62
..Albanian,6275,1088,3060,608
..Lithuanian,2130,409,945,305
..Latvian,680,211,210,115
..Pashto,655,535,205,238
..Kurdish,390,229,90,62
ASIAN AND PACIFIC ISLAND LANGUAGES,269329,4348,120898,3585
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",59400,2863,31589,1933
..Chinese,43280,2459,23730,1802
..Hakka,(D),(D),(B),--
..Cantonese,6355,1090,3130,646
..Mandarin,8460,1437,3930,904
..Fuchow,(D),(D),(D),(D)
..Formosan,1260,348,770,259
.Japanese,12041,1373,5004,808
.Korean,18720,1576,9141,911
".Mon-Khmer, Cambodian",4679,918,2816,630
.Hmong,1643,699,890,387
.Thai,9870,1098,5072,646
.Laotian,4224,793,2190,542
.Vietnamese,56119,3186,33628,2123
.Other Asian languages,35024,2014,10213,1074
..Kazakh,(D),(D),(D),(D)
..Uighur,380,220,205,167
..Azerbaijani,35,68,35,68
..Turkish,8640,1064,3055,728
..Mongolian,140,121,(B),--
..Dravidian,(D),(D),(B),--
..Gondi,40,51,(B),--
..Telugu,8255,1196,1785,481
..Kannada,1605,444,220,175
..Malayalam,7400,1073,2270,484
..Tamil,5395,918,895,352
..Munda,750,331,90,96
..Burmese,2005,627,1355,500
..Karen,325,301,270,284
..Kachin,30,36,30,36
..Mien,(D),(D),(B),--
.Tagalog,60165,2894,17642,1828
.Other Pacific Island languages,7444,1008,2713,596
..Indonesian,1600,452,830,342
..Balinese,(D),(D),(D),(D)
..Malagasy,30,54,(D),(D)
..Malay,400,157,130,99
..Bisayan,1230,396,550,214
..Sebuano,960,341,255,125
..Ilocano,550,231,165,125
..Pampangan,80,94,(D),(D)
..Micronesian,(D),(D),(D),(D)
..Carolinian,165,162,135,154
..Chamorro,620,230,(D),(D)
..Marshallese,180,146,75,60
..Mokilese,(D),(D),(B),--
..Ponapean,315,367,(D),(D)
..Yapese,65,57,55,47
..Melanesian,(D),(D),(D),(D)
..Samoan,555,291,75,61
..Tongan,185,139,125,131
..Fijian,(D),(D),(B),--
..Marquesan,(D),(D),(B),--
..Nukuoro,(D),(D),(D),(D)
..Hawaiian,295,149,(D),(D)
ALL OTHER LANGUAGES,94458,3643,26381,1828
.Navajo,79,66,32,46
.Other Native North American languages,1990,354,359,125
..Aleut,(D),(D),(B),--
..Inupik,65,69,(D),(D)
..Algonquian,(D),(D),(D),(D)
..Blackfoot,(D),(D),(B),--
..Cheyenne,(D),(D),(D),(D)
..Cree,60,57,35,33
..Delaware,(D),(D),(B),--
..Ojibwa,(D),(D),(B),--
..Passamaquoddy,(D),(D),(B),--
..Abnaki,(D),(D),(B),--
..Potawatomi,55,46,(B),--
..Shawnee,(D),(D),(B),--
..Apache,(D),(D),(B),--
..Klamath,(D),(D),(B),--
..Sahaptian,(D),(D),(D),(D)
..Havasupai,(D),(D),(B),--
..Dakota,160,89,(D),(D)
..Winnebago,(D),(D),(B),--
..Choctaw,(D),(D),(B),--
..Mikasuki,280,133,60,48
..Muskogee,470,156,80,47
..Keres,95,104,(D),(D)
..Mohawk,(D),(D),(B),--
..Cherokee,170,80,(D),(D)
..Shoshoni,(D),(D),(D),(D)
..Tewa,(D),(D),(B),--
..American Indian,305,103,30,33
..San Carlos,(D),(D),(B),--
.Hungarian,10658,975,3836,647
.Arabic,42761,2579,12817,1295
.Hebrew,20002,1726,4099,668
.African languages,14092,1497,3270,578
..Amharic,2180,556,695,245
..Berber,95,101,(B),--
..Chadic,215,146,25,35
..Cushite,150,124,(D),(D)
..Sudanic,65,68,60,67
..Nilotic,60,75,45,53
..Nubian,(D),(D),(D),(D)
..Swahili,1895,508,480,241
..Bantu,1050,330,450,235
..Mande,115,112,35,32
..Fulani,535,383,(D),(D)
"..Kru, Ibo, Yoruba",7055,1100,1160,378
..Efik,275,164,(D),(D)
..African,345,167,140,110
.Other and unspecified languages,4876,823,1968,444
..Finnish,2425,447,875,248
..Estonian,805,395,295,148
..Caucasian,80,68,(D),(D)
..Basque,40,74,(D),(D)
..Syriac,105,55,40,37
..Aztecan,(D),(D),(D),(D)
..Misumalpan,55,69,(B),--
..Mayan languages,865,465,605,293
..Oto - Manguen,20,27,20,27
..Quechua,50,91,50,91
..Arawakian,70,64,(B),--
..Tupi-Guarani,(D),(D),(D),(D)
..Uncodable,325,170,(B),--
,,,,
Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US12). Detailed-language estimates may not sum to aggregate estimates because of rounding.,,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
