..Kashmiri,445,283,(D),(D)
..Nepali,7165,1102,3925,720
..Sindhi,1505,510,360,199
..Pakistan n.e.c.3,1570,525,600,208
..Sinhalese,7290,953,2550,586
..Romany,255,179,50,67
.Other Indo-European languages,46760,2240,15797,998
..Jamaican Creole,1220,393,245,149
..Krio,680,294,285,184
..Hawaiian Pidgin,(D),(D),(D),(D)
..Pidgin,305,132,40,35
..Gullah,(D),(D),(B),--
..Catalonian,345,153,75,48
..Romanian,25075,1736,8590,741
..Rhaeto-Romanic,(D),(D),(B),--
..Welsh,170,100,(D),(D)
..Irish Gaelic,2575,480,400,215
..Scottic Gaelic,115,59,(D),(D)
..Albanian,2185,510,755,273
..Lithuanian,3090,507,900,267
..Latvian,1740,378,420,133
..Pashto,6785,1407,2835,619
..Kurdish,2325,508,1115,346
..Balochi,110,149,45,78
..Ossete,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,3375028,12691,1655771,9450
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",1058231,8797,593816,5856
..Chinese,574075,6875,332215,4915
..Hakka,285,122,175,107
..Cantonese,234775,4553,133380,3021
..Mandarin,213840,5475,106995,3229
..Fuchow,95,108,65,75
..Formosan,34350,2204,20500,1428
..Wu,815,310,490,191
.Japanese,140575,3757,64044,2048
.Korean,372742,6323,218622,4279
".Mon-Khmer, Cambodian",79882,4039,41350,2048
.Hmong,76789,3747,35655,2144
.Thai,46434,2607,26035,1597
.Laotian,36849,2319,18796,1213
.Vietnamese,521534,8601,311142,5256
.Other Asian languages,156029,4001,44934,2040
..Karakalpak,(D),(D),(B),--
..Kazakh,300,222,125,104
..Kirghiz,150,145,(D),(D)
..Karachay,15,20,(D),(D)
..Uighur,1230,668,520,250
..Azerbaijani,280,147,125,72
..Turkish,13370,985,4730,605
..Mongolian,2895,690,1750,447
..Dravidian,310,182,(D),(D)
..Gondi,160,157,80,97
..Telugu,39870,2028,8580,919
..Kannada,10530,1023,1505,315
..Malayalam,11955,1364,2355,420
..Tamil,39655,2128,6125,738
..Munda,205,169,(D),(D)
..Burushaski,(D),(D),(D),(D)
..Tibetan,1850,410,935,301
..Burmese,16590,1323,10210,974
..Karen,1160,386,975,355
..Kachin,20,23,(D),(D)
..Mien,15355,1944,6720,949
..Paleo-siberian,(D),(D),(B),--
.Tagalog,764743,8411,258008,4314
.Other Pacific Island languages,121220,3715,43369,2009
..Indonesian,27585,1865,11925,1002
..Balinese,(D),(D),(B),--
..Cham,280,166,65,57
..Javanese,165,159,45,45
..Malagasy,(D),(D),(B),--
..Malay,2415,552,710,238
..Bisayan,11150,1080,4300,644
..Sebuano,4310,663,1340,309
..Pangasinan,1520,452,850,309
..Ilocano,19495,1493,9160,916
..Bikol,255,110,65,55
..Pampangan,2915,467,1250,279
..Micronesian,105,86,65,57
..Carolinian,(D),(D),(D),(D)
..Chamorro,5860,725,970,225
..Gilbertese,100,87,(D),(D)
..Kusaiean,105,80,45,40
..Marshallese,950,369,490,194
..Mokilese,(D),(D),(B),--
..Palau,630,225,255,144
..Ponapean,220,196,145,133
..Trukese,135,111,(D),(D)
..Yapese,(D),(D),(B),--
..Melanesian,130,133,25,27
..Polynesian,200,114,70,63
..Samoan,21230,1919,5505,723
..Tongan,15150,1745,4710,775
..Tokelauan,(D),(D),(B),--
..Fijian,4350,814,1090,350
..Maori,80,53,(D),(D)
..Nukuoro,(D),(D),(B),--
..Hawaiian,1705,380,195,85
ALL OTHER LANGUAGES,325168,6787,108652,3359
.Navajo,1401,333,177,66
.Other Native North American languages,5989,613,880,210
..Aleut,35,35,(D),(D)
..Eskimo,20,22,(B),--
..Inupik,65,70,55,71
..St. Lawrence Island Yupik,(D),(D),(B),--
..Yupik,(D),(D),(B),--
..Algonquian,40,28,(B),--
..Blackfoot,(D),(D),(D),(D)
..Cheyenne,65,46,(B),--
..Cree,95,131,(D),(D)
..Delaware,(D),(D),(D),(D)
..Menomini,(D),(D),(B),--
..Ojibwa,130,84,(D),(D)
..Ottawa,35,44,(D),(D)
..Penobscot,(D),(D),(B),--
..Yurok,345,108,(D),(D)
..Salish,15,19,(B),--
..Ingalit,(D),(D),(B),--
..Kuchin,40,74,(B),--
..Chasta Costa,(D),(D),(D),(D)
..Hupa,65,39,(B),--
..Other Athapascan-Eyak,25,34,(B),--
..Apache,160,82,(D),(D)
..Mountain Maidu,195,150,(D),(D)
..Northwest Maidu,(D),(D),(B),--
..Southern Maidu,(D),(D),(B),--
..Sierra Miwok,155,105,(B),--
..Nomlaki,(D),(D),(B),--
..Patwin,4,6,(B),--
..Wintun,95,80,(B),--
..Foothill North Yokuts,60,36,10,10
..Tachi,(D),(D),(B),--
..Achumawi,(D),(D),(D),(D)
..Atsugewi,(D),(D),(B),--
..Karok,330,161,20,27
..Pomo,270,198,(B),--
..Washo,65,47,30,33
..Cocomaricopa,(D),(D),(B),--
..Mohave,50,27,(D),(D)
..Yuma,110,51,25,27
..Diegueno,170,106,(D),(D)
..Yavapai,(D),(D),(B),--
..Chumash,(D),(D),(B),--
..Tonkawa,15,23,(D),(D)
..Crow,(D),(D),(B),--
..Hidatsa,(D),(D),(B),--
..Dakota,385,126,25,22
..Winnebago,(D),(D),(B),--
..Omaha,(D),(D),(B),--
..Ponca,85,118,(B),--
..Alabama,(D),(D),(B),--
..Choctaw,135,83,30,43
..Muskogee,80,59,(D),(D)
..Keres,180,139,120,98
..Iroquois,75,123,65,101
..Seneca,30,28,(D),(D)
..Cherokee,560,153,75,73
..Arikara,(D),(D),(B),--
..Pawnee,(D),(D),(B),--
..Comanche,65,63,(B),--
..Mono,60,35,(B),--
..Paiute,170,63,60,38
..Chemehuevi,(D),(D),(B),--
..Kawaiisu,(D),(D),(B),--
..Ute,(D),(D),(B),--
..Shoshoni,45,40,(B),--
..Hopi,205,129,(B),--
..Cahuilla,60,36,(B),--
..Cupeno,10,9,(B),--
..Luiseno,75,61,15,21
..Serrano,(D),(D),(B),--
..Pima,85,57,(D),(D)
..Yaqui,(D),(D),(B),--
..Picuris,155,132,(D),(D)
..American Indian,425,122,70,47
..Chiricahua,(D),(D),(B),--
..San Carlos,(D),(D),(B),--
.Hungarian,13236,1035,4003,499
.Arabic,153635,4636,58805,2616
.Hebrew,41311,2225,7193,784
.African languages,71399,3273,20590,1722
..Amharic,27440,2302,10405,1186
..Berber,560,232,465,208
..Chadic,215,120,30,30
..Cushite,7290,1338,2305,601
..Sudanic,325,291,40,53
..Nilotic,380,225,60,82
..Nubian,(D),(D),(B),--
..Saharan,80,95,(D),(D)
..Nilo-Saharan,(D),(D),(D),(D)
..Swahili,6535,1026,1290,360
..Bantu,5085,1022,1210,439
..Mande,415,196,240,133
..Fulani,705,335,150,103
..Gur,230,291,(D),(D)
"..Kru, Ibo, Yoruba",20650,1747,4035,651
..Efik,460,183,110,88
..Mbum (and related),(D),(D),(B),--
..African,975,394,185,112
.Other and unspecified languages,38197,2358,17004,1469
..Finnish,3545,530,545,225
..Estonian,700,258,105,60
..Caucasian,705,248,455,201
..Basque,695,209,265,101
..Syriac,27725,2009,12100,1185
..Aztecan,195,113,75,63
..Misumalpan,35,38,35,37
..Mayan languages,1000,357,830,326
..Oto - Manguen,2505,771,2335,700
..Quechua,230,180,185,164
..Arawakian,575,236,40,42
..Tupi-Guarani,40,35,30,24
..Uncodable,255,119,(D),(D)
,,,,
Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US06). Detailed-language estimates may not sum to aggregate estimates because of rounding.,,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
